ten_tool,ma_tool,nhom_tool,dong_tool,nha_san_xuat,ma_nha_sx,tieu_chuan,model,vat_lieu_phu_hop,ghi_chu,duong_kinh,chieu_dai_lam_viec,don_vi_tinh,tuoi_tho_chuan,loai_gia_cong,duong_kinh_min,duong_kinh_max,ty_le_sau_lo_max,nhom_vat_lieu_iso,do_cung_min,do_cung_max,may_phu_hop,can_coolant,ton_kho,muc_canh_bao,tu,ngan,may_uu_tien,ngay_nhap_kho,gia_tri_mua,wear_max,nguong_thay,hrc_tham_chieu,che_do_cat_khuyen_nghi,ket_luan_fuzzy,diem_gia,diem_do_ben,diem_on_dinh,diem_chat_luong_be_mat,diem_san_co,diem_uu_tien_dung_truoc
Khoan HSS Φ8 - giá rẻ,DRL-HSS-8-C45-BASIC,Mũi khoan,Drill,Totten,HSS-8-BASIC,DIN338,Jobber,C45,"Giải pháp kinh tế, tốc độ thấp",8,65,cái,800 lỗ,DRILL,7.95,8.05,4,P,15,25,Máy khoan bàn,FALSE,40,10,T1,A1,Line phụ trợ,2025-01-10,25000,100,75,20,"n=1200 rpm, f=0.10 mm/vòng",,1,2,2,2,5,5
Khoan carbide Φ8 - cân bằng,DRL-CBD-8-C45-STD,Mũi khoan,Drill,YG-1,CBD-8-STD,DIN6539,Dream Drill,"C45, S45C",Khoan tốc độ trung bình,8,72,cái,2000 lỗ,DRILL,7.97,8.01,6,P,20,32,VMC 8000 rpm,TRUE,20,5,T1,A2,Line 1,2025-01-12,180000,100,70,25,"n=2500 rpm, f=0.14 mm/vòng",,3,4,4,4,4,3
Khoan carbide Φ8 - cao cấp,DRL-CBD-8-C45-PREMIUM,Mũi khoan,Drill,OSG,ADF-8,DIN6539,ADF,"C45, SCM440","Tốc độ cao, bền, cần coolant tốt",8,80,cái,3500 lỗ,DRILL,7.985,8.005,8,P,25,38,"VMC 12000 rpm, áp suất coolant cao",TRUE,6,2,T1,A3,Line 2,2025-01-14,420000,100,65,30,"n=4000 rpm, f=0.20 mm/vòng",,5,5,5,5,2,2
Endmill HSS Φ10 - giá rẻ,EM-HSS-10-S50C-BASIC,Dao phay ngón,Endmill,LocalBrand,HSS10-4F,,Standard,S50C,"Phay thô, chiều sâu cắt nhỏ",10,22,cái,80 m chiều dài cắt,MILL,9.95,10.05,1.5,P,18,28,VMC 6000 rpm,FALSE,25,5,T2,B1,Line 1,2025-01-16,90000,100,70,20,"Vc=80 m/ph, fz=0.04 mm/răng",,1,2,2,3,5,4
Endmill carbide Φ10 - cân bằng,EM-CBD-10-S50C-STD,Dao phay ngón,Endmill,YG-1,E5620-10,TiAlN,General,"S50C, SCM440",,10,25,cái,180 m chiều dài cắt,MILL,9.98,10.02,2,P,22,35,VMC 8000 rpm,TRUE,12,3,T2,B2,Line 2,2025-01-18,260000,100,70,28,"Vc=160 m/ph, fz=0.05 mm/răng",,3,4,4,4,4,3
Endmill carbide Φ10 - bề mặt đẹp,EM-CBD-10-S50C-FINISH,Dao phay ngón,Endmill,Mitsubishi,VPHB-10,AlCrN,Finisher,"S50C, SKD11 đã tôi","Ưu tiên bề mặt đẹp, lượng chạy nhỏ",10,20,cái,150 m chiều dài cắt (finishing),MILL,9.99,10.01,1,H,45,60,VMC 12000 rpm,TRUE,5,2,T2,B3,Line 3,2025-01-20,480000,100,60,50,"Vc=220 m/ph, fz=0.03 mm/răng",,5,4,4,5,2,2
Taro M6 HSS - cơ bản,TAP-M6-HSS-BASIC,Mũi taro,Tap,Totten,M6-HSS,ISO,Hand tap,S45C,Taro tay hoặc tốc độ thấp,5,16,cái,600 ren,TAP,4.9,5.1,1.5,P,15,28,Máy taro tay / khoan bàn,FALSE,30,8,T3,C1,Line sửa chữa,2025-01-11,70000,100,70,20,"n=300 rpm, f=pitch=1 mm/vòng",,1,2,2,3,5,5
Taro M6 spiral - cân bằng,TAP-M6-SP-STD,Mũi taro,Tap,Yamawa,SP-M6,ISO,SP,"S45C, SS400",Rigid tap lỗ kín,5,18,cái,1000 ren,TAP,4.9,5.1,2,P,18,32,"VMC 8000 rpm, rigid tap",TRUE,15,5,T3,C2,Line 1,2025-01-20,180000,100,70,25,"n=800 rpm, f=pitch=1 mm/vòng",,3,4,4,4,3,3
Taro M6 spiral - cao cấp,TAP-M6-SP-PREMIUM,Mũi taro,Tap,OSG,EXO6-SP,ISO,EXO,"S45C, SCM440","Lớp phủ, bền cao",5,18,cái,1500 ren,TAP,4.98,5.02,2.5,P,22,35,"VMC 10000 rpm, rigid tap",TRUE,8,3,T3,C3,Line 2,2025-01-23,260000,100,65,30,"n=900 rpm, f=pitch=1 mm/vòng",,4,5,4,5,2,2
Insert tiện ngoài CNMG - giá rẻ,TURN-CNMG-BASIC,Mảnh dao tiện,Insert,LocalBrand,CNMG120408-U,ISO,Universal,Thép carbon,Tiện thô,,,mảnh,25 phút cắt,TURN,,,,P,18,30,CNC tiện 1500 rpm,TRUE,60,20,T4,E1,Line tiện phụ,2025-01-09,30000,100,70,22,"Vc=180 m/ph, f=0.3 mm/v, ap=2.5 mm",,1,2,2,2,5,5
Insert tiện ngoài CNMG - cân bằng,TURN-CNMG-STD,Mảnh dao tiện,Insert,Sumitomo,CNMG120408-MV,ISO,AC8025P,Thép P chung,,,,mảnh,40 phút cắt,TURN,,,,P,20,35,CNC tiện 2000 rpm,TRUE,40,10,T4,E2,Line tiện 1,2025-01-15,55000,100,70,25,"Vc=220 m/ph, f=0.25 mm/v, ap=2.0 mm",,3,4,4,4,4,3
Insert tiện ngoài CNMG - bền cao,TURN-CNMG-PREMIUM,Mảnh dao tiện,Insert,Sandvik,CNMG120408-PM-GC4325,ISO,GC4325,"Thép carbon, SCM440","Ưu tiên tuổi bền, ổn định",,,mảnh,60 phút cắt,TURN,,,,P,22,38,CNC tiện 2500 rpm,TRUE,25,8,T4,E3,Line tiện 2,2025-01-22,75000,100,65,28,"Vc=240 m/ph, f=0.22 mm/v, ap=2.0 mm",,4,5,5,4,3,2
Khoan HSS Φ5 - generic,DRL-HSS-05-GEN,Mũi khoan,Drill,Generic,HSS05,DIN338,Standard,Thép mềm,,5,60,cái,1000 lỗ,DRILL,4.95,5.05,5,P,15,28,Máy khoan bàn,FALSE,20,5,T1,A5,Line phụ trợ,2025-01-05,25000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,2,3,3,3,4,4
Khoan HSS Φ6 - generic,DRL-HSS-06-GEN,Mũi khoan,Drill,Generic,HSS06,DIN338,Standard,Thép mềm,,6,60,cái,1000 lỗ,DRILL,5.95,6.05,5,P,15,28,Máy khoan bàn,FALSE,20,5,T1,A6,Line phụ trợ,2025-01-06,26000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,2,3,3,3,4,4
Khoan HSS Φ7 - generic,DRL-HSS-07-GEN,Mũi khoan,Drill,Generic,HSS07,DIN338,Standard,Thép mềm,,7,60,cái,1000 lỗ,DRILL,6.95,7.05,5,P,15,28,Máy khoan bàn,FALSE,20,5,T1,A7,Line phụ trợ,2025-01-07,27000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,2,3,3,3,4,4
Khoan HSS Φ8 - generic,DRL-HSS-08-GEN,Mũi khoan,Drill,Generic,HSS08,DIN338,Standard,Thép mềm,,8,60,cái,1000 lỗ,DRILL,7.95,8.05,5,P,15,28,Máy khoan bàn,FALSE,20,5,T1,A8,Line phụ trợ,2025-01-08,28000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,2,3,3,3,4,4
Khoan HSS Φ9 - generic,DRL-HSS-09-GEN,Mũi khoan,Drill,Generic,HSS09,DIN338,Standard,Thép mềm,,9,60,cái,1000 lỗ,DRILL,8.95,9.05,5,P,15,28,Máy khoan bàn,FALSE,20,5,T1,A9,Line phụ trợ,2025-01-09,29000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,2,3,3,3,4,4
Khoan HSS Φ10 - generic,DRL-HSS-10-GEN,Mũi khoan,Drill,Generic,HSS10,DIN338,Standard,Thép mềm,,10,60,cái,1000 lỗ,DRILL,9.95,10.05,5,P,15,28,Máy khoan bàn,FALSE,20,5,T1,A10,Line phụ trợ,2025-01-10,30000,100,80,20,"n=1500 rpm, f=0.12 mm/vòng",,2,3,3,3,4,4
